role,admin,uuid,name,username,password,profile_pic,email,current_usage,past_usage,avg_usage,bill_amount,section,activity_status,load
admin,1,01dd99f7-bdd4-4edf-8cac-2eb32a426a73,User_1,user_1,pass_1,https://picsum.photos/200/300?random=1,user1@example.com,563,1938,2520,1214,C,False,47
user,1,35e4bab5-eae5-4529-a2ea-3141c183e901,User_2,user_2,pass_2,https://picsum.photos/200/300?random=2,user2@example.com,3312,1953,1517,709,B,False,3
user,0,493bbb0a-2e09-4c41-abc6-e25551d6a2e9,User_3,user_3,pass_3,https://picsum.photos/200/300?random=3,user3@example.com,946,4102,4662,1017,C,False,32
admin,1,5c391bde-531f-4e0e-9a01-68e6ad875536,User_4,user_4,pass_4,https://picsum.photos/200/300?random=4,user4@example.com,1441,2092,1602,1537,D,False,38
user,0,e6420ab9-b7f4-4cd4-a660-17a1ed18d720,User_5,user_5,pass_5,https://picsum.photos/200/300?random=5,user5@example.com,2402,1165,1892,582,C,True,17
user,1,a0a43e69-d2c4-42c5-bfae-01be53ff4cd6,User_6,user_6,pass_6,https://picsum.photos/200/300?random=6,user6@example.com,3856,3168,2292,1696,B,True,50
user,0,5235dbc0-00ae-4cf1-87b1-393a9c616ff3,User_7,user_7,pass_7,https://picsum.photos/200/300?random=7,user7@example.com,223,859,2365,1373,B,True,36
user,1,723de3e2-4740-45b5-8205-64dfe5a0aa2d,User_8,user_8,pass_8,https://picsum.photos/200/300?random=8,user8@example.com,3276,285,241,1910,A,False,17
admin,0,31a67b43-bfcc-4e50-81a3-7e8efbe0cd2b,User_9,user_9,pass_9,https://picsum.photos/200/300?random=9,user9@example.com,3404,3470,3787,1123,A,False,46
admin,0,52b41760-ad86-4c45-baa3-7da6c8f51676,User_10,user_10,pass_10,https://picsum.photos/200/300?random=10,user10@example.com,1599,112,1790,1933,A,False,50
admin,0,87a94930-26a1-4296-b50d-ed5d57e45510,User_11,user_11,pass_11,https://picsum.photos/200/300?random=11,user11@example.com,4130,161,390,1921,C,False,13
user,1,3e078f78-1bfc-4504-956a-ae47b56b0bbf,User_12,user_12,pass_12,https://picsum.photos/200/300?random=12,user12@example.com,3113,3387,4217,785,C,False,46
user,1,3e630732-f980-4461-9e9f-44a4accd0ae1,User_13,user_13,pass_13,https://picsum.photos/200/300?random=13,user13@example.com,363,3792,3128,668,C,True,6
admin,1,c1f923f5-2324-4011-a7a7-89a1f5e38040,User_14,user_14,pass_14,https://picsum.photos/200/300?random=14,user14@example.com,1255,375,3467,555,A,False,5
admin,1,adf3f6de-1319-4775-a971-086af3a3731d,User_15,user_15,pass_15,https://picsum.photos/200/300?random=15,user15@example.com,2030,2909,3792,966,A,True,49
user,1,6d849302-6834-4297-af45-fa8d537bdf9e,User_16,user_16,pass_16,https://picsum.photos/200/300?random=16,user16@example.com,1383,4342,2403,1202,B,False,22
admin,1,68cb001b-686b-43fc-8146-1c8584175a0d,User_17,user_17,pass_17,https://picsum.photos/200/300?random=17,user17@example.com,2250,2415,1881,1474,D,False,37
user,1,b2842c76-3abe-4625-b0c2-cbf1000faf6e,User_18,user_18,pass_18,https://picsum.photos/200/300?random=18,user18@example.com,1943,501,2622,1469,D,True,34
admin,0,c303945f-bbd8-4e87-ad34-3976c7735041,User_19,user_19,pass_19,https://picsum.photos/200/300?random=19,user19@example.com,1140,1301,2601,1825,A,False,45
user,0,438d2ec3-f96c-4860-b8bf-5bf99c06643a,User_20,user_20,pass_20,https://picsum.photos/200/300?random=20,user20@example.com,183,2052,776,790,D,True,10
admin,1,f086d2f0-57bc-41f3-9ab1-86d7bb4e5e8c,User_21,user_21,pass_21,https://picsum.photos/200/300?random=21,user21@example.com,2539,1226,753,614,A,True,50
admin,1,055de327-1d97-4ca3-9a30-1f65a11c512c,User_22,user_22,pass_22,https://picsum.photos/200/300?random=22,user22@example.com,1058,2832,2354,1458,C,False,17
admin,0,905c697e-7b83-4fb9-ac94-3c11c9954c33,User_23,user_23,pass_23,https://picsum.photos/200/300?random=23,user23@example.com,4994,3096,4912,1716,C,False,41
user,1,556e9fdb-9916-4890-80da-66ac9a8f15f1,User_24,user_24,pass_24,https://picsum.photos/200/300?random=24,user24@example.com,3160,948,1442,528,C,False,22
admin,1,26ee0769-44bc-48ad-9dce-047df36b0aba,User_25,user_25,pass_25,https://picsum.photos/200/300?random=25,user25@example.com,1117,814,457,532,D,False,24
user,0,86ee3d1b-3477-4187-af42-d7b97a5e8c70,User_26,user_26,pass_26,https://picsum.photos/200/300?random=26,user26@example.com,1775,4694,1986,763,B,False,18
admin,1,e4f8f11c-3b90-4356-87fa-bda5e9ce69bc,User_27,user_27,pass_27,https://picsum.photos/200/300?random=27,user27@example.com,4659,2392,2761,1710,C,False,1
user,0,b97d92cc-50e9-406d-968f-563b7e073662,User_28,user_28,pass_28,https://picsum.photos/200/300?random=28,user28@example.com,1167,1262,4721,1348,A,True,10
user,0,ee5efa4d-31f6-4c79-8f50-e821fa2ea8a5,User_29,user_29,pass_29,https://picsum.photos/200/300?random=29,user29@example.com,2522,1291,4950,1957,A,False,24
user,1,120dd326-9d65-4336-b964-f2640f97c605,User_30,user_30,pass_30,https://picsum.photos/200/300?random=30,user30@example.com,3217,1104,4600,1152,C,True,2
